lcz_class,sum_vul_pop,area_km2,pop_density_km2,transport_count,transport_density_km2,vul_pop_hf0,vul_pop_hf1,vul_pop_hf2,vul_pop_hf3,vul_pop_hf4,vul_pop_hf5
1,225.0,0.14321675317215019,1571.045251455633,2.0,13.964846679605627,,0.0,58.0,58.0,122.5,122.5
2,34183.0,3.5146360172582836,9725.900443786399,46.0,13.088126273708403,514.0,2261.875,4365.0,5474.846153846154,7456.384615384615,7575.5625
3,210.0,0.026048138358285594,8061.9964894036875,1.0,38.390459473350894,,,0.0,0.0,21.0,31.5
4,10344.0,1.3346449639295437,7750.375777498579,19.0,14.235995724330337,21.0,230.125,661.3846153846154,953.0666666666667,1415.8235294117646,1856.8823529411766
5,4769.0,1.1406372129513878,4180.996328938154,14.0,12.27384118371444,0.0,382.57142857142856,565.0,919.1666666666666,1067.076923076923,1197.0666666666666
6,90036.0,14.21502399399688,6333.86197856739,133.0,9.356297960254375,327.0,4545.7,9561.75,14390.05,18950.75,23781.55
8,3513.0,3.5536091236341836,988.5724281367632,27.0,7.597909353741135,34.0,118.6842105263158,245.57894736842104,430.2105263157895,588.421052631579,719.1052631578947
9,4992.0,12.464634911707247,400.49307784468914,22.0,1.764993532168101,1970.4,2311.55,2619.2,3008.2105263157896,3224.157894736842,3432.5789473684213
11,3528.0,47.21648649193138,74.71966387424622,33.0,0.6989084205924392,66.2,308.35,518.55,689.35,855.95,1020.95
12,1289.0,5.3873602873217115,239.26374536959312,6.0,1.1137179768949252,43.4,166.75,275.05,361.4,427.45,512.8
14,240.0,17.909090582570887,13.401015472754816,3.0,0.1675126934094352,50.75,83.26315789473684,111.94736842105263,132.52631578947367,141.68421052631578,146.57894736842104
16,3.0,0.2928972302492988,10.242500406871573,,,0.0,0.47368421052631576,0.9473684210526315,1.4210526315789473,1.894736842105263,1.894736842105263
17,556.0,1.5679788843184965,354.59661195734714,7.0,4.464345833995377,0.0,4.684210526315789,19.263157894736842,32.526315789473685,44.05263157894737,62.3
